id,date,title,text,author,media
world/video/2012/jan/10/syria-protesters-bashar-al-assad-video,2012-01-10,"Syria has no policy of shooting protesters, says Bashar al-Assad - video","In his fourth speech since the Syrian uprising began in March 2011, President Bashar al-Assad says security forces have no policy of shooting civilians",,The Guardian
media/greenslade/2011/mar/28/reuters-syria,2011-03-28,Reuters journalists missing in Syria,"Two Reuters television journalists have been missing in Syria since Saturday night. Lebanese-based producer Ayat Basma and cameraman Ezzat Baltaji had been expected back in Beirut after sending a message to colleagues. [NEW PARAGRAPH]  [NEW PARAGRAPH] They had crossed the border into Syria two days before to cover the protests against to President Bashar al-Assad's 11-year rule. [NEW PARAGRAPH]  [NEW PARAGRAPH] Reuters editor-in-chief Stephen Adler said the agency was deeply concerned about the journalists. [NEW PARAGRAPH]  [NEW PARAGRAPH] A senior Reuters editor is planning to go to Damascus to discuss the matter with Syrian officials. [NEW PARAGRAPH]  [NEW PARAGRAPH] On Friday, Syrian authorities withdrew the accreditation of Reuters correspondent Khaled Yacoub Oweis, claiming he had filed 'unprofessional and false' coverage of events. [NEW PARAGRAPH]  [NEW PARAGRAPH] Source: Reuters",Roy Greenslade,The Guardian
world/2012/may/27/syria-roll-call-civilian-slaughter,2012-05-27,Syria joins roll call of civilian slaughter,"At noon on Friday, they gathered for their familiar and increasingly futile weekly ritual – an act of peaceable defiance against the regime they loathe. The chants resounded far and wide, audible to the army troops menacingly nearby and to the adjoining Allawite villages largely sympathetic to the Syrian president, Bashar al-Assad. 'The Allawites have been hearing our chants for many months,' said Houla resident Abu Jaffour. 'And neither they, nor the army have liked what we've been saying. Maybe that's why they did what they did.' [NEW PARAGRAPH]  [NEW PARAGRAPH] Three hours later, vengeance rolled into town with a savagery rarely paralleled in the 15-month Syrian uprising. When the shelling and gunfire stopped early on Saturday, more than 90 people had been killed, at least one-third of them children. Some appeared to have been killed at close range as they cowered in barricaded homes. [NEW PARAGRAPH]  [NEW PARAGRAPH] In a few short hours, the town of Houla joined the sorry list of localities whose names have become synonymous with the merciless slaughter of civilians. Srebrenica. Nyarubuye. My Lai. Up to now, the Syrian conflict has killed 13,000 people. But until this weekend, it had yet to include the mass slaughter of nursery-age infants. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'The shelling started around 3pm,' said Abu Jaffour. 'I was in the fields at the time and we tried to reach the area being bombed. It took us three hours to get there. When I reached the houses it was dreadful. I was carrying babies' bodies that had parts of their heads hanging out.' [NEW PARAGRAPH]  [NEW PARAGRAPH] A second Houla resident, Imm Mowafik, said that nightfall brought more brutality. 'The Shabiha [pro-regime civilian militias] came into town from the direction of the Allawite villages. They entered from five to seven checkpoints and were killing people in their homes. We could hear the shots and nobody could help them.' Abu Jaffour said: 'We have buried around 110 martyrs and there are still some people under the rubble. Twenty-two of the children are nursery age.' [NEW PARAGRAPH]  [NEW PARAGRAPH] Last night, the UN security council convened an emergency session to discuss what the White House called a 'vile testament to an illegitimate regime'. The foreign secretary, William Hague, will arrive in Moscow on Monday to take up the matter with Assad's closest security council ally, Russia. The UN special envoy to Syria, Kofi Annan, whose tattered peace plan remains in effect on paper alone, will head for Damascus on an emergency mission to stop the crisis from unravelling even further. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'This appalling and brutal crime involving indiscriminate and disproportionate use of force is a flagrant violation of international law and of the commitments of the Syrian government to cease the use of heavy weapons in population centres and violence in all its forms,' the UN secretary general, Ban Ki-moon, said before Annan's visit. [NEW PARAGRAPH]  [NEW PARAGRAPH] Syria on Sunday denied it was responsible, blaming al-Qaida for the carnage – a refrain it repeats after all large bombings and shootings. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'Al-Qaida hiding in the mountains?' asked Abu Jaffour. 'They expect people to believe that? These mountain areas are the Allawite villages and Houla is full of the families of the Free Syrian Army [FSA].' Like much of the rest of Homs province in central Syria, Houla had become a hub of armed opposition to the Assad regime, which is trying to repress the most sustained challenge to its four decades of rule. [NEW PARAGRAPH]  [NEW PARAGRAPH] Houla residents claim that 600 defectors are in Houla. If true, the small town of 35,000 residents would be a stronghold of the opposition militia, in the area now known as the heartland of the Syrian revolution. [NEW PARAGRAPH]  [NEW PARAGRAPH] The battle has become increasingly sectarian. Syria's third city, Homs, and its surrounding hinterland is a patchwork of Allawite and Sunni enclaves and tensions between the sects have increasingly spilled over into violence. [NEW PARAGRAPH]  [NEW PARAGRAPH] Several observers say the violence in Homs has developed a clear pattern. 'All of these areas that have been attacked like this are geographically and demographically close to Allawite areas,' said Wissam Tarif, the Arab world campaigner for the global rights group Avaaz. 'There have been 13 neighbourhoods of Homs emptied,' he said. 'There are residents there but they are not significant populations. The common denominator in these areas is that they are close to Allawite communities. There are hundreds of thousands of people on the move. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'This is not just some angry guys who went and killed these families. This is a state policy, a regime policy, spreading sectarian tensions. People in Houla are going to retaliate. They will enter into yet another cycle of violence.' [NEW PARAGRAPH]  [NEW PARAGRAPH] A third resident of Houla said that more than three-quarters of the population of the town was now on the move, with many travelling to rural areas to escape fighting which was continuing on Sunday night. 'They are sleeping in their fields,' said the man who identified himself as Abu Wael. 'Another 10,000 have moved into the homes of families in other parts of Houla.' Syrian opposition towns visited by UN monitors say the officials have been slow to respond and given little room to independently assess flashpoint areas. [NEW PARAGRAPH]  [NEW PARAGRAPH] Annan had struck a deal with Damascus for 300 monitors to be allowed into Syria. However less than half have so far arrived. 'It now needs to be 3,000,' said Tarif.",Martin Chulov,The Guardian
world/2011/aug/13/assad-tanks-rebel-towns-syrian,2011-08-13,Assad orders tanks into rebel towns as Syria's brutal crackdown intensifies,"Syrian tanks and gunmen have swept through two towns to root out anti-government protesters amid heavy firing that has sent many fleeing to safer areas. [NEW PARAGRAPH]  [NEW PARAGRAPH] Three people were reported to have died in the violence, the latest in an escalating campaign of repression by President Bashar al-Assad's regime against an uprising that erupted in mid-March. The heaviest assault was reported in the coastal city of Latakia, where a day earlier thousands turned out to demand the president's removal. At least 20 tanks and armoured personnel fanned out into the city's el-Ramel district as intense gunfire rang out, according to Rami Abdul-Rahman, the head of the London-based Syrian Observatory for Human Rights. [NEW PARAGRAPH]  [NEW PARAGRAPH] Shooting and explosions were also heard in the town's Slaibeh neighbourhood, according to the Observatory and the Local Co-ordination Committees of Syria, an activist group that documents protests. Two people were killed in the shooting, they said. Scores of security agents and pro-government gunmen, known as Shabiha, entered the town of Qusair, near the border with Lebanon, and several nearby villages, arresting scores of residents, Abdul-Rahman said. LCC Syria said that one person was killed in the shooting. It was not possible to verify the reports. [NEW PARAGRAPH]  [NEW PARAGRAPH] The army also conducted an operation in the nearby towns of Hawla and Taldaw, in the central Homs province, and deployed tanks in the area, activists said. They reported that 10 people were wounded by gunfire during sweeps in the north-western town of Sarmin. Both the al-Ramel section of Latakia and Qusair have seen large protests since the demonstrations began in March. Government efforts to quash the protests have intensified in recent weeks, with troops storming several towns and cities. Abdul-Rahman said that many residents, mostly women and children, were fleeing to safer areas. [NEW PARAGRAPH]  [NEW PARAGRAPH] In protests around the country on Friday, tens of thousands called for Assad's death, in a dramatic escalation of anger. [NEW PARAGRAPH]  [NEW PARAGRAPH] Crowds took to the streets after Friday prayers, defying bullets and rooftop snipers following more than a week of intensified military assaults on rebel cities. The chants calling for Assad's death are seen as a sign of how much the protest movement has changed since its initial demands for minor reform, but not for regime change. [NEW PARAGRAPH]  [NEW PARAGRAPH] The protests have grown dramatically over the past five months, driven in part by anger over the government's bloody crackdown in which rights groups say at least 1,700 civilians have been killed. [NEW PARAGRAPH]  [NEW PARAGRAPH] The government has justified its crackdown by saying it is dealing with terrorist gangs and criminals who are fomenting unrest.",Barry Neild and agencies,The Guardian
media/greenslade/2012/feb/22/sundaytimes-syria,2012-02-22,Marie Colvin killed in Syria,"Marie Colvin, the award-winning Sunday Times journalist, has been killed in Syria. It is reported that she died alongside a French photographer in Homs when a house they were staying was shelled. [NEW PARAGRAPH]  [NEW PARAGRAPH] News agencies say she and the photographer, Remi Ochlik, another veteran war correspondent, were killed by a rocket as they tried to make their escape. [NEW PARAGRAPH]  [NEW PARAGRAPH] Three other foreign journalists were also reportedly wounded, including Paul Conroy, a British photographer who was working with Colvin. A French reporter with Le Figaro, Edith Bouvier, was injured. The third, a female American journalist who has not been named, was said to be 'in a very serious condition.' [NEW PARAGRAPH]  [NEW PARAGRAPH] They were all apparently inside a makeshift media centre set up by anti-regime activists in the Baba Amr district that took a direct hit from a shell. [NEW PARAGRAPH]  [NEW PARAGRAPH] Colvin, who has worn a trademark black eye patch since losing an eye after being hit by shrapnel on assignment in Sri Lanka in 2001, was regarded as Britain's foremost front-line war reporter. [NEW PARAGRAPH]  [NEW PARAGRAPH] In a BBC broadcast yesterday, she described the bloodshed as 'absolutely sickening'. She said: [NEW PARAGRAPH]  [NEW PARAGRAPH] 'I watched a little baby die today. Absolutely horrific. There is just shells, rockets and tank fire pouring into civilian areas of this city and it is just unrelenting.' [NEW PARAGRAPH]  [NEW PARAGRAPH] In a report published in the Sunday Times over the weekend, Colvin wrote of the citizens of Homs 'waiting for a massacre'. [NEW PARAGRAPH]  [NEW PARAGRAPH] She wrote: 'The scale of human tragedy in the city is immense. The inhabitants are living in terror. Almost every family seems to have suffered the death or injury of a loved one... [NEW PARAGRAPH]  [NEW PARAGRAPH] 'On the lips of everyone was the question: 'Why have we been abandoned by the world?'' [NEW PARAGRAPH]  [NEW PARAGRAPH] She was in a pro-opposition area of Homs that has been under sustained bombardment from government forces since 3 February, causing the deaths of several hundred people. [NEW PARAGRAPH]  [NEW PARAGRAPH] The Sunday Times's editor, John Witherow, issued a statement in which he spoke of Colvin as 'an extraordinary figure in the life of the Sunday Times' who was 'driven by a passion to cover wars in the belief that what she did mattered. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'She believed profoundly that reporting could curtail the excesses of brutal regimes and make the international community take notice... [NEW PARAGRAPH]  [NEW PARAGRAPH] 'Throughout her long career she took risks to fulfil this goal, including being badly injured in Sri Lanka. Nothing seemed to deter her. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'But she was much more than a war reporter. She was a woman with a tremendous joie de vivre, full of humour and mischief and surrounded by a large circle of friends, all of whom feared the consequences of her bravery.' [NEW PARAGRAPH]  [NEW PARAGRAPH] Rupert Murdoch also paid tribute to Colvin, describing her as 'one of the most outstanding foreign correspondents of her generation.' [NEW PARAGRAPH]  [NEW PARAGRAPH] He said that often put her life in danger 'because she was driven by a determination that the misdeeds of tyrants and the suffering of the victims should not go unreported.' [NEW PARAGRAPH]  [NEW PARAGRAPH] In 2010, Colvin spoke about the dangers of reporting on war zones at a Fleet Street ceremony honouring fallen journalists. She said: [NEW PARAGRAPH]  [NEW PARAGRAPH] 'Craters. Burned houses. Mutilated bodies. Women weeping for children and husbands. Men for their wives, mothers, children [NEW PARAGRAPH]  [NEW PARAGRAPH] Our mission is to report these horrors of war with accuracy and without prejudice. [NEW PARAGRAPH]  [NEW PARAGRAPH] We always have to ask ourselves whether the level of risk is worth the story. What is bravery, and what is bravado? [NEW PARAGRAPH]  [NEW PARAGRAPH] Journalists covering combat shoulder great responsibilities and face difficult choices. Sometimes they pay the ultimate price.' [NEW PARAGRAPH]  [NEW PARAGRAPH] Colvin twice won the British press award as the best foreign correspondent. Among her other awards were one for courage in journalism by the International Women's Media Foundation and the Foreign Press Association's journalist of the year award. [NEW PARAGRAPH]  [NEW PARAGRAPH] She wrote and produced the BBC documentary Arafat: Behind the Myth and presented a documentary on Martha Gellhorn, the war correspondent renowned for her coverage of the Spanish civil war. [NEW PARAGRAPH]  [NEW PARAGRAPH] Ochlik, 28, had been covering conflicts for eight years, firstly in Haiti, and most recently the revolutions in Tunisia, Egypt and Libya. He won a world press photo award for his Libyan work. [NEW PARAGRAPH]  [NEW PARAGRAPH] French television reporter Gilles Jacquier was killed in Homs last month as a shell exploded amid a group of journalists covering protests in the city on a visit organised by the Syrian authorities. [NEW PARAGRAPH]  [NEW PARAGRAPH] Sources: Reuters/AFP/AP/Sunday Times",Roy Greenslade,The Guardian
world/2011/sep/01/syria-attorney-general-resigns-protest,2011-09-01,Syrian city's attorney general resigns in protest at government crackdown,Adnan Muhammad al-Bakkour says he was asked to report that 'armed gangs' killed hundreds buried in mass graves in Hama,Nour Ali,The Guardian
world/video/2011/nov/17/arab-league-syria-crackdown-video,2011-11-17,Arab League gives Syria three days to end crackdown - video,"The Arab League gave Syria three days to end an eight-month-old crackdown on protests and allow in teams of observers, signalling its patience with Damascus was running out",,The Guardian
world/2012/apr/21/un-authorises-syria-monitors,2012-04-21,UN authorises 300 Syria monitors,"The UN security council has unanimously voted to send 300 unarmed military observers to Syria to monitor the fragile ceasefire between President Bashar al-Assad's forces and opposition groups. [NEW PARAGRAPH]  [NEW PARAGRAPH] The resolution approved on Saturday increases the number of observers in the UNSMIS mission from 30 and demands an immediate halt to the violence that has been escalating since a ceasefire took effect over a week ago. [NEW PARAGRAPH]  [NEW PARAGRAPH] It also authorises the UN secretary general, Ban Ki-moon, to decide when to deploy the additional observers based on 'relevant developments on the ground, including the cessation of violence'. [NEW PARAGRAPH]  [NEW PARAGRAPH] The resolution noted that the cessation of violence by the government and opposition was 'clearly incomplete'. [NEW PARAGRAPH]  [NEW PARAGRAPH] The British foreign secretary, William Hague, said he welcomed the mission and called for a full end to violence in the country. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'This resolution increases the pressure on the Syrian regime to begin a transition to a democratic, plural political system. I welcome the fact that the council reaffirmed its full support for this goal,' he said. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'However, I remain extremely concerned that the Syrian regime is still failing to meet its commitments, and that there has been further violence and the use of heavy weapons since 12 April when a ceasefire should have come into effect. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'The Syrian regime must stop immediately troop movements towards population centres; end the use of heavy weapons in civilian areas; and withdraw the military to their barracks. The Syrian regime must ensure that the UN monitoring mission can operate freely and safely, and this must include agreement on the use of air assets.' [NEW PARAGRAPH]  [NEW PARAGRAPH] Hague called for the full implementation of Kofi Annan's six-point peace plan, which includes starting a Syrian-led political process to address the concerns of the Syrian people and the right to demonstrate peacefully as well as a UN-supervised ceasefire. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'If the Syrian regime fails to take these steps and to comply with Kofi Annan's plan in full, we will push for further action, including in the UN security council,' Hague said.",Jo Adetunji and agencies,The Guardian
world/2013/jan/29/syrian-rebels-bodies-aleppo-canal,2013-01-29,Syrian rebels recover scores of bodies from Aleppo river as floodwaters recede,"Rebel groups in Aleppo say they have recovered more than 100 bodies from a small river in the south of the city and say more are yet to be dragged from the water after what appears to be one of the biggest massacres to have taken place in the war-ravaged city. [NEW PARAGRAPH]  [NEW PARAGRAPH] A video posted online today showed rows of bodies, most of them men in their 20s and 30s, with their hands tied behind their backs and evident bullet wounds to their heads. The graphic footage showed blood seeping from the corpses across silt left on the watercourse's concrete bank by floodwaters that have recently receded. [NEW PARAGRAPH]  [NEW PARAGRAPH] One witness at the scene said he counted 108 bodies and rebel groups said they expected the final death toll to climb to as many as 120, though the Guardian was unable to independently verify the number of dead. The corpses were found on Tuesday morning in Bustan al-Qasr, in the southern city centre. The site is near one of several frontlines that divides opposition groups in the east and south of Aleppo from loyalist forces in the north. [NEW PARAGRAPH]  [NEW PARAGRAPH] Where the men were executed is not yet clear. Winter rain has given the river a strong current in recent weeks and initial assessments suggested that the bodies could have been carried some distance. [NEW PARAGRAPH]  [NEW PARAGRAPH] The Syrian regime blamed 'terrorist gangs' for the killings, a term it uses for all groups fighting against it. A regime official in Damascus suggested that rebel groups were now leading a recovery in an attempt to 'cover for their crimes'. [NEW PARAGRAPH]  [NEW PARAGRAPH] A Syrian official told Agence France Presse: 'We will disclose the identities of those killed as soon as we are able to secure the bodies, which is a difficult process since the area is in the hands of terrorist groups.' [NEW PARAGRAPH]  [NEW PARAGRAPH] Rebel groups, however, blamed the Syrian government for the killings, suggesting that some of the victims had crossed into loyalist areas then disappeared. None of the victims had identification cards. [NEW PARAGRAPH]  [NEW PARAGRAPH] Residents of rebel-held eastern Aleppo have reportedly arrived at the site where the bodies were found to try to identify missing relatives. The remains were loaded into trucks and taken to the nearby Zarzur Hospital, where rebel officials were trying to organise an identification process. [NEW PARAGRAPH]  [NEW PARAGRAPH] A resident of rebel-held eastern Aleppo who called himself Omar al-Halabi told the Guardian that 11 bodies had been identified by nightfall and claimed by their families for burial. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'Their relatives said that they live in ... areas under the control of the FSA like Ansari, Sukari and Al-Bustan districts,' he said. 'None were members of the Free Syria Army [FSA]. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'I spoke to a guy who was able to identify his brother and his friend's bodies,' he said. '[He] said that his brother and his friend were heading to one of the districts which are still under the control of the Syrian army in Aleppo and they did not come back three days ago. These two men were in their fifties. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'Other bodies were identified by their relatives who said that they had been detained at the Air Force Intelligence headquarters in Aleppo 10 days ago.' [NEW PARAGRAPH]  [NEW PARAGRAPH] An eyewitness to the recovery effort said several bullets were fired during the day from buildings to the north. [NEW PARAGRAPH]  [NEW PARAGRAPH] Extrajudicial killings have become increasingly frequent in many parts of Syria over the past six months. However, Tuesday's death toll in Aleppo is believed to be without precedent in the city since rebels launched an assault there in July. [NEW PARAGRAPH]  [NEW PARAGRAPH] In the months since then, the opposition has entrenched itself in the east of the city and the regime has hunkered down in the north-west. The south-western suburbs of Saif al-Dawli and Salahedin remain battleground areas. Few residents cross the divide, which is manned on one side by Syrian soldiers and sniper positions and on the other by rebel groups. [NEW PARAGRAPH]  [NEW PARAGRAPH] As fighting and atrocities continue, Syrian citizens are leaving the country in increasing numbers. Over the past six weeks, an extra 200,000 refugees have sought shelter in Lebanon, Turkey, Jordan and Iraq, the UN High Commission for Refugees said on Tuesday. [NEW PARAGRAPH]  [NEW PARAGRAPH] More than 700,000 people have now fled Syria, the UN said, with 21,000 crossing into Jordan in the past week alone – about five times the number seen in previous weeks. [NEW PARAGRAPH]  [NEW PARAGRAPH] The UN has appealed for $1.5bn (£950m) in aid to fund shelter, food and education for Syrian refugees but says it has so far been able to secure only 3% of that figure from international donors. [NEW PARAGRAPH]  [NEW PARAGRAPH] With the violence in Syria showing no sign of abating, aid needs are likely to intensify in the first half of the year at least. At least another 1.5 million Syrians are believed to be internally displaced. [NEW PARAGRAPH]  [NEW PARAGRAPH] While some food aid, as well as homegrown fresh produce, has been delivered to battle zones such as Aleppo in recent weeks, there is no guarantee that supply lines can continue to be secured. [NEW PARAGRAPH]  [NEW PARAGRAPH] Fighting erupts near flashpoint areas of Aleppo most days. The site where the bodies were found is one such area, considered a no-go zone for the few remaining locals. [NEW PARAGRAPH]  [NEW PARAGRAPH] <a rel='nofollow' href='http://oas.guardian.co.uk/RealMedia/ads/click_nx.ads/guardianapis.com/world/oas.html/@Bottom'> <img alt='Ads by The Guardian' src='http://oas.guardian.co.uk/RealMedia/ads/adstream_nx.ads/guardianapis.com/world/oas.html/@Bottom' /> </a>",Martin Chulov and Mona Mahmood,The Guardian
world/2011/nov/15/syria-urged-stop-repression,2011-11-15,Syria urged to stop violent repression,"Syria came under mounting pressure from Turkey and Arab Gulf states on Tuesday to ease its violent repression of protests a day before a historic move to suspend its Arab League membership. [NEW PARAGRAPH]  [NEW PARAGRAPH] Human rights groups and monitors reported that up to 70 people were killed in clashes on Monday, with a total of 140 dead since the Arab League voted on Saturday to suspend Syria's membership. [NEW PARAGRAPH]  [NEW PARAGRAPH] As the death toll continued to rise, Recep Tayyip Erdogan, the Turkish prime minister, urged Syria's government to 'turn back from the edge of the cliff'. He threatened to cut electricity supplies to its southern neighbour if its president, Bashar al-Assad – 'feeding on blood' – did not change course. [NEW PARAGRAPH]  [NEW PARAGRAPH] Turkey's president, Abdullah Gul, added: 'Unfortunately, Syria today has entered a dead end.' Turkey also announced the suspension of joint oil exploration with Syria. [NEW PARAGRAPH]  [NEW PARAGRAPH] The Syrian Observatory for Human Rights reported that 19 unidentified corpses were delivered to a hospital in the central city of Homs. It said the bodies could be people kidnapped by loyalist militiamen. [NEW PARAGRAPH]  [NEW PARAGRAPH] Meanwhile, the Syrian Revolution General Commission, an activist group, reported seven named individuals killed. Video clips posted online showed mutilated corpses and people being beaten. [NEW PARAGRAPH]  [NEW PARAGRAPH] Citizens of Homs described 'vicious and unbelievable fighting' in bitterly contested parts of the city. Two residents told the Guardian that defections of members of the security forces had risen sharply since the league vote's. That decision appears to have encouraged demonstrators in Homs and Deraa, where 34 government troops are thought to have been ambushed on Monday night. [NEW PARAGRAPH]  [NEW PARAGRAPH] 'Especially in the past two days there have been many defections,' said one resident. 'We are especially seeing young ones and we are starting to see officers. There have been 50-60 in our area alone.' [NEW PARAGRAPH]  [NEW PARAGRAPH] Syrian officials are forcing government workers to join mass rallies across the country on Wednesday in support of the regime. [NEW PARAGRAPH]  [NEW PARAGRAPH] Assad's growing isolation was underlined again when the six members of the Saudi-led Gulf Co-operation Council rebuffed his call for an emergency Arab summit to discuss the crisis. [NEW PARAGRAPH]  [NEW PARAGRAPH] Russia, however, refused to back demands by Assad's opponents to support them against the regime. [NEW PARAGRAPH]  [NEW PARAGRAPH] The suspension, called 'shameful and malicious' by Damascus, is due to take effect on Wednesday as foreign ministers meet in Morocco. League rules require 15 of the 22 members to back an emergency summit. [NEW PARAGRAPH]  [NEW PARAGRAPH] On Monday King Abdullah of Jordan became the first Arab leader to call publicly for Assad to step down. [NEW PARAGRAPH]  [NEW PARAGRAPH] The meeting in Rabat, the Moroccan capital, is likely to discuss fresh economic and further political sanctions on Syria. But new divisions are likely to emerge and constrain further collective action. [NEW PARAGRAPH]  [NEW PARAGRAPH] Sudan, one of the 18 Arab countries which backed Syria's suspension, indicated it wanted to mend fences. Egypt and several other member states have ignored a league call to withdraw ambassadors from Damascus. [NEW PARAGRAPH]  [NEW PARAGRAPH] Russia, meanwhile, urged the Syrian National Council (SNC), the largest anti-Assad opposition group, to talk to the regime. Burhan Ghalioun, the Paris-based SNC leader, said the opposition would only talk to those whose hands were not stained with blood. [NEW PARAGRAPH]  [NEW PARAGRAPH] Russia has said the Arab League was wrong to suspend Syria and opposed any move by the UN security council to condemn the Assad regime. [NEW PARAGRAPH]  [NEW PARAGRAPH] Ghalioun said: 'We were unable to change the position of the Russian government, and they also could not change our position.' [NEW PARAGRAPH]  [NEW PARAGRAPH] In Kuwait 33 MPs called on the government to recognise the SNC – in a move which would parallel recognition of the Benghazi-based Libyan rebels of the National Transitional Council while Muammar Gaddafi was in power. [NEW PARAGRAPH]  [NEW PARAGRAPH] Syrian officials claimed to have freed 1,100 political prisoners ahead of Wednesday's league meeting. The release of all prisoners seized since the uprising began on 15 March was a key condition of a deal struck two weeks ago, which Syria has not honoured. [NEW PARAGRAPH]  [NEW PARAGRAPH] An end to the crackdown had also been a key demand. But November is on track to be the bloodiest month of the uprising. [NEW PARAGRAPH]  [NEW PARAGRAPH] The global rights group, Avaaz, said it has compiled figures showing that 4,203 people have been killed since March – 700 more than UN figures say. Avaaz says its researchers used testimony from three people, including a relative of each victim, to collate its figures. [NEW PARAGRAPH]  [NEW PARAGRAPH] Ricken Patel, executive director of Avaaz, said: 'After an 8 month horror show that has left thousands dead and tortured, the Arab League and China are, at last, taking action on Syria. Russia is now the lone remaining power shilling for Assad, and will face intense public and diplomatic pressure to stop blocking effective UN measures.'","Ian Black, Middle East editor and Martin Chulov in Beirut",The Guardian
