Start Date,End Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Tag,,,,,,,,,,,,,,,,,,,,
3/6/2011 0:00:00,,"In the rural city of Daraa, nearly a dozen boys under age 15 are arrested for graffiti.","They had spray-painted a common slogan of the Arab uprisings: ""The people want to topple the regime.""",,,,,title,,,,,,,,,,,,,,,,,,,,,
3/15/2011 0:00:00,,"A Facebook page, ""Syrian Revolution 2011"", calls for a ""Day of Rage"".","Protests are reported in al-Hasakah, Daraa, Deir ez-Zor, and Hama, with smaller protests in Damascus.",,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2011 0:00:00,,Thousands protest across Syria,"Demonstrators chant ""God, Syria, Freedom"" and are met with violent crackdown. In Damascus, security forces interrupt protests outside the Umayyad Mosque. Meanwhile, demonstrators in Daraa call out Rami Makhlouf, the cousin of Assad. The government response is that ""infiltrators"" are seeking to stir chaos.",,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2011 0:00:00,,Assad appoints Adel Safar as the new Syrian prime minister.,Safar's first task is to form a new government after Assad dismissed his cabinet.,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2011 0:00:00,,Assad government offers concessions to Sunnis and Kurds.,"In a move to gain favor from the country's religious conservatives, the government closes the country's only casino. A government source also tells media that tens of thousands of stateless Kurds residing in Syria will get Syrian citizenship.",,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2011 0:00:00,,Assad gives a televised speech to the People's Assembly.,"He states that among his priorities are: citizenship for Kurds, lifting the state of emergency law, regulating demonstrations, and developing political party law, local administration law in elections, and a new media law.",,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2011 0:00:00,,President Assad issues decree to end Syria's nearly 50-year old state of emergency.,He also issues decrees to abolish the Supreme State Security Court and regulate the right to peaceful demonstrations.,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2011 0:00:00,,"""The Great Friday"" protests","Tens of thousands of demonstrators take to the streets. As over 100 people are reportedly killed, it becomes the bloodiest day in the uprisings.",,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2011 0:00:00,,"""Friday of Free Women"" protests","Protests are held in honor of women demonstrators, with thousands participating in Hama alone.",,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2011 0:00:00,,The US imposes sanctions on Bashar Assad and five other top government officials.,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2011 0:00:00,,"Civilian death toll reaches over 1,100, according to Syrian human rights group.",The group also says that Syrian security agents killed soldiers who refused to fire on civilians.,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2011 0:00:00,,"""Friday of the Children"" protests","The largest protest outside Daraa takes place in Hama with about 50,000 protestors. The Syrian government disconnects access to the Internet and reduces Syria's online acitivities by nearly two-thirds.",,,,,,,,,,,,,,,,,,,,,,,,,,
