Gov_ID,Gov_EN,Shape_Area,FemPop,2004Pop,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crushing,Christian,,,,,,,,,Female,AvAge,,Army,SameBirth,,,Outage,,ComLen,Asphyxiate,,NUM_VICS,Shabiha,Gov_AR,wVideo,,,Under18,FPer100K,,,Stress,wPhoto
7,Idleb,5478112022,612491,1258427,5754,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,616,22.371,,1088,6141,,,2,,353156,1,,6370,27,????,35.2276,,,5852,100.573,,,1,6.5463
8,Hassakeh,23121584583,628150,1275118,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,2,29.7273,,39,171,,,0,,12736,2,,214,0,??????,12.6168,,,199,0.318,,,0,6.0748
11,Raqqa,17639904519,386380,793514,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,32,23.5,,81,330,,,0,,29267,2,,362,2,?????,23.2044,,,329,8.282,,,0,10.221
13,As Suweida,6340012564,157456,313231,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,30.75,,6,24,,,0,,2022,0,,27,0,????????,7.4074,,,23,0,,,0,7.4074
14,Al Qunaytirah,1727435164,32588,66627,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,5,18.3333,,53,97,,,0,,7000,0,,145,0,????????,13.1034,,,139,15.343,,,0,5.5172
6,Lattakia,2442628928,431768,879551,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,48,28.7895,,118,693,,,1,,30537,4,,723,7,????????,16.0443,,,515,11.117,,,1,3.3195
2,Aleppo,20030001304,1954486,4045166,5743,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,656,25.6732,,947,6103,,,6,,338150,1,,6399,29,???,27.4418,,,5016,33.564,,,7,5.579
5,Hama,11094126299,673332,1384953,3568,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,,,,,,,,,310,25.7096,,325,3763,,,7,,255097,2,,3878,115,????,35.9722,,,3171,46.04,,,1,10.1599
4,Homs,42619606561,742988,1529402,7939,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,37,,,,,,,,,939,23.2565,,668,8622,,,24,,379943,1,,8878,160,???,47.3305,,,7937,126.382,,,5,13.2462
12,Dara,3889114800,412934,843478,3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,360,23.5224,,523,3887,,,7,,193736,2,,4087,8,????,34.3528,,,3728,87.181,,,4,11.1818
9,Dayr Az Zor,24332370163,490822,1004747,2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,399,22.7849,,479,0,,,5,,163718,1,,3225,12,??? ?????,28.4341,,,2926,81.292,,,0,12.5271
3,Damascus Province,26119748239,1101328,2273074,9639,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,,834,23.3891,,895,9628,,,9,,581871,1,,10473,47,??? ????,40.9625,,,9554,75.727,,,7,15.392
10,Tartous,1940182363,343294,701395,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,7,26,,23,65,,,0,,3663,0,,89,0,?????,15.7303,,,76,2.039,,,0,10.1124
1,City Damascus,104953232,755949,1552161,3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,184,25.6636,,218,2890,,,1,,187503,2,,3498,18,????? ????,36.4494,,,3168,24.34,,,3,19.8399
